ind,origin,sex,country code
PDOM2015AUS0078F,adelaide,F,AUS
PDOM2015AUS0079M,adelaide,M,AUS
PDOM2015AUS0080F,adelaide,F,AUS
PDOM2015AUS0081F,adelaide,F,AUS
PDOM2015AUS0082F,adelaide,F,AUS
PDOM2015AUS0083M,adelaide,M,AUS
PDOM2015AUS0084M,adelaide,M,AUS
PDOM2015AUS0085F,adelaide,F,AUS
PDOM2015AUS0086M,adelaide,M,AUS
PDOM2015AUS0087M,adelaide,M,AUS
PDOM2015AUS0088F,adelaide,F,AUS
PDOM2015AUS0089M,adelaide,M,AUS
PDOM2015AUS0090M,adelaide,M,AUS
PDOM2015AUS0091F,adelaide,F,AUS
PDOM2015AUS0092F,adelaide,F,AUS
PDOM2015AUS0093F,adelaide,F,AUS
PDOM2015AUS0094M,adelaide,M,AUS
PDOM2015AUS0095F,adelaide,F,AUS
PDOM2015AUS0096M,adelaide,M,AUS
PDOM2015AUS0097M,adelaide,M,AUS
PDOM2015AUS0098F,adelaide,F,AUS
PDOM2015AUS0099F,adelaide,F,AUS
PDOM2015AUS0100F,adelaide,F,AUS
PDOM2015AUS0101F,adelaide,F,AUS
PDOM2022AUS0001M,broken_hill,M,AUS
PDOM2022AUS0002M,broken_hill,M,AUS
PDOM2022AUS0003F,broken_hill,F,AUS
PDOM2022AUS0004F,broken_hill,F,AUS
PDOM2022AUS0005F,broken_hill,F,AUS
PDOM2022AUS0006M,broken_hill,M,AUS
PDOM2022AUS0007F,mount_isa,F,AUS
PDOM2022AUS0008F,mount_isa,F,AUS
PDOM2022AUS0009M,mount_isa,M,AUS
PDOM2022AUS0010F,mount_isa,F,AUS
PDOM2022AUS0011M,mount_isa,M,AUS
PDOM2022AUS0012M,mount_isa,M,AUS
PDOM2022AUS0013M,mount_isa,M,AUS
PDOM2022AUS0014F,mount_isa,F,AUS
PDOM2022AUS0015F,mount_isa,F,AUS
PDOM2022AUS0016M,mount_isa,M,AUS
PDOM2022AUS0017F,mount_isa,F,AUS
PDOM2022AUS0018F,mount_isa,F,AUS
PDOM2022AUS0019M,mount_isa,M,AUS
PDOM2022AUS0020M,mount_isa,M,AUS
PDOM2022AUS0021F,mount_isa,F,AUS
PDOM2022AUS0022F,mount_isa,F,AUS
PDOM2022AUS0023F,mount_isa,F,AUS
PDOM2022AUS0024F,mount_isa,F,AUS
PDOM2022AUS0025M,mount_isa,M,AUS
PDOM2022AUS0026M,richmond,M,AUS
PDOM2022AUS0027M,richmond,M,AUS
PDOM2022AUS0028F,richmond,F,AUS
PDOM2022AUS0029F,richmond,F,AUS
PDOM2022AUS0030M,richmond,M,AUS
PDOM2022AUS0031F,richmond,F,AUS
PDOM2022AUS0032F,richmond,F,AUS
PDOM2022AUS0033M,richmond,M,AUS
PDOM2022AUS0034M,richmond,M,AUS
PDOM2022AUS0035M,richmond,M,AUS
PDOM2022AUS0036M,richmond,M,AUS
PDOM2022AUS0037M,richmond,M,AUS
PDOM2022AUS0038F,richmond,F,AUS
PDOM2022AUS0039F,richmond,F,AUS
PDOM2022AUS0040M,richmond,M,AUS
PDOM2022AUS0041F,richmond,F,AUS
PDOM2022AUS0042M,richmond,M,AUS
PDOM2022AUS0043F,richmond,F,AUS
PDOM2022AUS0044F,richmond,F,AUS
PDOM2022AUS0045M,richmond,M,AUS
PDOM2022AUS0046F,richmond,F,AUS
PDOM2022AUS0047M,richmond,M,AUS
PDOM2022AUS0048M,richmond,M,AUS
PDOM2022AUS0049M,richmond,M,AUS
PDOM2022AUS0050F,richmond,F,AUS
PDOM2022AUS0051M,richmond,M,AUS
PDOM2022AUS0052F,richmond,F,AUS
PDOM2022AUS0053F,richmond,F,AUS
PDOM2022AUS0054M,richmond,M,AUS
PDOM2022AUS0055F,richmond,F,AUS
PDOM2023AUS0001M,port_pirie,M,AUS
PDOM2023AUS0002M,port_pirie,M,AUS
PDOM2023AUS0003M,port_pirie,M,AUS
PDOM2023AUS0004F,port_pirie,F,AUS
PDOM2023AUS0005F,port_pirie,F,AUS
PDOM2023AUS0006F,port_pirie,F,AUS
PDOM2023AUS0007M,port_pirie,M,AUS
PDOM2023AUS0008M,port_pirie,M,AUS
PDOM2023AUS0009F,port_pirie,F,AUS
PDOM2023AUS0010F,port_pirie,F,AUS
PDOM2023AUS0011F,port_pirie,F,AUS
PDOM2023AUS0012M,port_pirie,M,AUS
PDOM2023AUS0013F,port_pirie,F,AUS
PDOM2023AUS0014M,port_pirie,M,AUS
PDOM2023AUS0015M,port_pirie,M,AUS
PDOM2023AUS0016F,port_pirie,F,AUS
PDOM2023AUS0017M,port_pirie,M,AUS
PDOM2023AUS0018F,port_pirie,F,AUS
PDOM2023AUS0019M,port_pirie,M,AUS
PDOM2023AUS0020M,port_pirie,M,AUS
PDOM2023AUS0021M,port_pirie,M,AUS
PDOM2023AUS0022M,port_pirie,M,AUS
PDOM2023AUS0023F,port_pirie,F,AUS
PDOM2023AUS0024F,port_pirie,F,AUS
PDOM2023AUS0025M,port_pirie,M,AUS
PDOM2023AUS0026M,port_pirie,M,AUS
PDOM2023AUS0027M,port_pirie,M,AUS
PDOM2023AUS0028M,port_pirie,M,AUS
PDOM2023AUS0029F,port_pirie,F,AUS
PDOM2023AUS0030F,port_pirie,F,AUS
PDOM2023AUS0031F,broken_hill,F,AUS
PDOM2023AUS0032F,broken_hill,F,AUS
PDOM2023AUS0033F,broken_hill,F,AUS
PDOM2023AUS0034F,broken_hill,F,AUS
PDOM2023AUS0035F,broken_hill,F,AUS
PDOM2023AUS0036F,broken_hill,F,AUS
PDOM2023AUS0037F,broken_hill,F,AUS
PDOM2023AUS0038M,broken_hill,M,AUS
PDOM2023AUS0039M,broken_hill,M,AUS
PDOM2023AUS0040M,broken_hill,M,AUS
PDOM2023AUS0041M,broken_hill,M,AUS
PDOM2023AUS0042M,broken_hill,M,AUS
PDOM2023AUS0043M,broken_hill,M,AUS
PDOM2023AUS0044M,broken_hill,M,AUS
PDOM2023AUS0045M,broken_hill,M,AUS
PDOM2023AUS0046M,broken_hill,M,AUS
PDOM2023AUS0047M,broken_hill,M,AUS
PDOM2023NCL0001F,noumea,F,NCL
PDOM2023NCL0002F,noumea,F,NCL
PDOM2023NCL0003M,noumea,M,NCL
PDOM2023NCL0004M,noumea,M,NCL
PDOM2023NCL0005M,noumea,M,NCL
PDOM2023NCL0007M,noumea,M,NCL
PDOM2023NCL0008M,noumea,M,NCL
PDOM2023NCL0009F,noumea,F,NCL
PDOM2023NCL0010F,noumea,F,NCL
PDOM2023NCL0012F,noumea,F,NCL
PDOM2023NCL0013M,noumea,M,NCL
PDOM2023NCL0014F,noumea,F,NCL
PDOM2023NCL0016M,noumea,M,NCL
PDOM2023NCL0017M,noumea,M,NCL
PDOM2023NCL0020F,noumea,F,NCL
PDOM2023NCL0021M,noumea,M,NCL
PDOM2023NCL0022F,noumea,F,NCL
PDOM2023NCL0023F,noumea,F,NCL
PDOM2023NCL0025F,noumea,F,NCL
PDOM2023NCL0026M,noumea,M,NCL
PDOM2023NCL0027F,noumea,F,NCL
PDOM2023NCL0028F,noumea,F,NCL
PDOM2023NCL0029M,noumea,M,NCL
PDOM2023NCL0030M,noumea,M,NCL
PDOM2013AUS0029U,broken_hill,U,AUS
PDOM2013AUS0030U,broken_hill,U,AUS
PDOM2013AUS0031U,adelaide,U,AUS
PDOM2013AUS0032U,broken_hill,U,AUS
PDOM2013AUS0033U,broken_hill,U,AUS
PDOM2013AUS0034U,broken_hill,U,AUS
PDOM2013AUS0035U,broken_hill,U,AUS
PDOM2013AUS0036U,broken_hill,U,AUS
PDOM2013AUS0037U,adelaide,U,AUS
PDOM2014AUS0002U,towoomba,U,AUS
PDOM2014AUS0004U,towoomba,U,AUS
PDOM2014AUS0005U,towoomba,U,AUS
PDOM2014AUS0006U,towoomba,U,AUS
PDOM2014AUS0008U,towoomba,U,AUS
PDOM2014AUS0009U,towoomba,U,AUS
PDOM2014AUS0010U,towoomba,U,AUS
PDOM2014AUS0011U,towoomba,U,AUS
PDOM2014AUS0012U,towoomba,U,AUS
PDOM2014AUS0017U,adelaide,U,AUS
PDOM2014AUS0023U,adelaide,U,AUS
PDOM2014AUS0025U,adelaide,U,AUS
PDOM2014AUS0028U,adelaide,U,AUS
PDOM2015AUS0001M,hobart,M,AUS
PDOM2015AUS0002M,hobart,M,AUS
PDOM2015AUS0003M,hobart,M,AUS
PDOM2015AUS0004M,hobart,M,AUS
PDOM2015AUS0005F,hobart,F,AUS
PDOM2015AUS0006M,hobart,M,AUS
PDOM2015AUS0007M,hobart,M,AUS
PDOM2015AUS0008M,hobart,M,AUS
PDOM2015AUS0009F,hobart,F,AUS
PDOM2015AUS0010F,hobart,F,AUS
PDOM2015AUS0017M,melbourne,M,AUS
PDOM2015AUS0018M,melbourne,M,AUS
PDOM2015AUS0019F,melbourne,F,AUS
PDOM2015AUS0020F,melbourne,F,AUS
PDOM2015AUS0023M,melbourne,M,AUS
PDOM2015AUS0024M,melbourne,M,AUS
PDOM2015AUS0025M,melbourne,M,AUS
PDOM2015AUS0026M,melbourne,M,AUS
PDOM2015AUS0033F,sydney,F,AUS
PDOM2015AUS0035M,sydney,M,AUS
PDOM2015AUS0036M,sydney,M,AUS
PDOM2015AUS0037M,sydney,M,AUS
PDOM2015AUS0038F,sydney,F,AUS
PDOM2015AUS0040F,sydney,F,AUS
PDOM2015AUS0042F,sydney,F,AUS
PDOM2015AUS0043F,sydney,F,AUS
PDOM2015AUS0049F,mount_isa,F,AUS
PDOM2015AUS0050M,mount_isa,M,AUS
PDOM2015AUS0051M,mount_isa,M,AUS
PDOM2015AUS0054F,mount_isa,F,AUS
PDOM2015AUS0055F,mount_isa,F,AUS
PDOM2015AUS0056F,mount_isa,F,AUS
PDOM2015AUS0057M,mount_isa,M,AUS
PDOM2015AUS0058F,mount_isa,F,AUS
PDOM2015AUS0061M,mount_isa,M,AUS
PDOM2015AUS0062M,mount_isa,M,AUS
PDOM2015AUS0063M,mount_isa,M,AUS
PDOM2015AUS0065M,townsville,M,AUS
PDOM2015AUS0066F,townsville,F,AUS
PDOM2015AUS0067M,townsville,M,AUS
PDOM2015AUS0068M,townsville,M,AUS
PDOM2015AUS0070M,townsville,M,AUS
PDOM2015AUS0071M,townsville,M,AUS
PDOM2015AUS0075M,townsville,M,AUS
PDOM2015AUS0076F,townsville,F,AUS
PDOM2015AUS0077F,townsville,F,AUS
PDOM2012NOR0002M,helgoland_archipelago,M,NOR
PDOM2012NOR0004M,helgoland_archipelago,M,NOR
PDOM2012NOR0005F,helgoland_archipelago,F,NOR
PDOM2012NOR0006M,helgoland_archipelago,M,NOR
PDOM2012NOR0007M,helgoland_archipelago,M,NOR
PDOM2012NOR0008M,helgoland_archipelago,M,NOR
PDOM2012NOR0009M,helgoland_archipelago,M,NOR
PDOM2012NOR0010M,helgoland_archipelago,M,NOR
PDOM2012NOR0011M,helgoland_archipelago,M,NOR
PDOM2012NOR0012M,helgoland_archipelago,M,NOR
PDOM2012NOR0013M,helgoland_archipelago,M,NOR
PDOM2012NOR0014M,helgoland_archipelago,M,NOR
PDOM2012NOR0015M,helgoland_archipelago,M,NOR
PDOM2012NOR0016M,helgoland_archipelago,M,NOR
PDOM2012NOR0017F,helgoland_archipelago,F,NOR
PDOM2012NOR0018F,helgoland_archipelago,F,NOR
PDOM2012NOR0019F,helgoland_archipelago,F,NOR
PDOM2012NOR0020F,helgoland_archipelago,F,NOR
PDOM2012NOR0021F,helgoland_archipelago,F,NOR
PDOM2012NOR0022F,helgoland_archipelago,F,NOR
PDOM2012NOR0023F,helgoland_archipelago,F,NOR
PDOM2012NOR0024F,helgoland_archipelago,F,NOR
PDOM2012NOR0025F,helgoland_archipelago,F,NOR
PDOM2012NOR0026F,helgoland_archipelago,F,NOR
PDOM2012NOR0027F,helgoland_archipelago,F,NOR
PDOM2012NOR0028F,helgoland_archipelago,F,NOR
PDOM2012NOR0030F,helgoland_archipelago,F,NOR
PDOM2012NOR0031M,helgoland_archipelago,M,NOR
PDOM2012NOR0031U,oslo,U,NOR
PDOM2012NOR0032U,oslo,U,NOR
PDOM2012NOR0033U,oslo,U,NOR
PDOM2012NOR0034U,oslo,U,NOR
PDOM2012NOR0035U,oslo,U,NOR
PDOM2013NOR0001M,oslo,M,NOR
PDOM2012GBR0001F,lundy_island,F,GBR
PDOM2012GBR0002F,lundy_island,F,GBR
PDOM2012GBR0003F,lundy_island,F,GBR
PDOM2012GBR0004F,lundy_island,F,GBR
PDOM2012GBR0005F,lundy_island,F,GBR
PDOM2012GBR0006M,lundy_island,M,GBR
PDOM2012GBR0007M,lundy_island,M,GBR
PDOM2012GBR0008M,lundy_island,M,GBR
PDOM2012GBR0009M,lundy_island,M,GBR
PDOM2012GBR0010M,lundy_island,M,GBR
PDOM2022NLD0007M,nijmegen,M,NLD
PDOM2022NLD0009F,nijmegen,F,NLD
PDOM2022NLD0010M,nijmegen,M,NLD
PDOM2022NLD0011M,nijmegen,M,NLD
PDOM2022NLD0012F,nijmegen,F,NLD
PDOM2022NLD0014M,nijmegen,M,NLD
PDOM2022NLD0016M,nijmegen,M,NLD
PDOM2022NLD0017F,nijmegen,F,NLD
PDOM2022NLD0018F,nijmegen,F,NLD
PDOM2022NLD0020M,nijmegen,M,NLD
PDOM2022NLD0028M,beneden_leeuwen,M,NLD
PDOM2022NLD0029F,beneden_leeuwen,F,NLD
PDOM2022NLD0030M,beneden_leeuwen,M,NLD
PDOM2022NLD0031M,beneden_leeuwen,M,NLD
PDOM2022NLD0032M,beneden_leeuwen,M,NLD
PDOM2022NLD0033M,beneden_leeuwen,M,NLD
PDOM2022NLD0034M,beneden_leeuwen,M,NLD
PDOM2022NLD0036M,beneden_leeuwen,M,NLD
PDOM2022NLD0037F,beneden_leeuwen,F,NLD
PDOM2022NLD0038M,beneden_leeuwen,M,NLD
